ålder;kön;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
0-4 år;män;258786;265282;269118;271803;273625;274004;280293;280143;268438;256573;248478;249390;253790;265449;270910;275698;277377;281663;282544;287880;284756;284790;282966;283973;286606;290365;294332;297809;300144;298166;295051;293334;288412;287488;289506;294151;295026;297881;301072;300593;299682;302504;304520;303508;306901;307759;309030;310953;313940;317371;316477;315615;314464;311921;307780;302674;297939;292907;286794;280915;288189;291738;290482;289418;286304;272435;260726;251961;244334;236886;230282;226453;223191;217113;213998;210792;210120;210900;215573;222142;227179;233016;245578;262010;281908;301007;320149;326533;327812;321709;312280;302639;293533;285524;277664;273916;273711;272572;270399;270149;267379;265457;265732;269715;279008;290766;300879;307717;306525;301373;296143;290726;285378;282059;283338;281565;274909;267596;258990;251440;247885;245098;243176;242615;241928;243242;248066;254176;265130;277148;290330;301091;310189;312287;310539;298680;282416;265400;251848;240440;234890;234235;237592;242795;249343;254540;262868;269594;275987;281826;288931;291625;294723;297494;300184;301784;307392;309845
0-4 år;kvinnor;254755;261107;264129;265800;267707;268983;274593;274203;262694;251045;242531;243286;247483;257981;263112;268551;269933;274480;274994;280129;277948;277679;275513;276322;278366;281225;285870;289638;292405;290599;287554;285966;281474;279728;281244;284493;285167;287177;290218;289690;289445;291548;294503;294342;296625;297533;298257;299079;301545;304924;303041;302222;301403;298734;295195;291002;286396;281455;275491;269474;276082;279813;278733;277219;274900;261471;250268;241870;235106;227783;222266;218217;215089;208995;205797;201858;201311;201604;206246;212736;218016;223349;235178;250787;268859;286265;303993;309852;311178;305578;296635;286829;277838;269345;261679;258570;257656;257209;255270;254532;252476;251473;251458;255104;264864;275461;284700;290751;290507;284917;280468;275596;270765;267532;269260;267572;261653;254791;246712;239689;235951;233666;231842;230750;229573;230272;234372;241051;251159;262619;275635;285607;293395;296326;295172;283639;269074;253132;239508;228276;222960;221532;224907;230091;236215;241805;249715;255711;260995;266396;272857;275744;278860;281525;283973;284434;289649;292199
5-9 år;män;205120;207416;212497;220041;224884;232067;236055;241919;244211;244151;243398;248139;246547;237295;232182;229241;229540;231733;240627;244946;245714;245322;248477;249389;253911;254796;256707;256866;259130;262042;265208;269018;272793;274270;272366;271386;272095;270410;271954;274522;278442;278716;281085;282261;282490;283232;286576;289047;290431;294438;295337;296445;298243;301395;304739;305613;305879;305262;302452;297788;292069;287380;282677;277376;272752;280699;284826;283714;282895;280550;267311;255998;248017;240760;233537;227879;223400;219998;214676;211445;208833;208320;209300;213975;220595;226354;232755;246813;264019;282537;302282;318930;326481;326988;321079;312755;302032;293595;286150;278408;274224;274060;272546;270453;271272;269305;267821;268452;272859;283059;295092;304009;310474;309247;301809;294862;290592;286473;284838;286323;283755;276097;267774;259029;251609;248227;246231;245626;246725;247921;250531;255958;261963;273163;286446;298119;307728;315363;315568;311693;300423;285277;269606;257058;246162;240461;240491;244531;250677;258574;264448;272248;279307;286732;293755;302956;309001;314886
5-9 år;kvinnor;202750;205255;210616;218004;222256;229380;233712;239338;240918;241414;241122;245136;242881;234397;228902;224960;224884;226711;234851;238878;240402;240449;243557;244454;248828;250116;251516;251507;253399;255880;257883;262078;265950;267912;266799;266288;266689;264694;265088;266907;269371;269802;271360;272685;272967;274171;277102;280723;282400;285334;286239;286986;287722;290295;293550;293162;293225;292985;289976;286170;281419;276956;272355;267395;262357;269668;273785;272814;271629;269974;257559;246363;238551;232452;225350;220552;216056;212929;207367;204107;200395;199949;200453;205152;211773;217671;223727;237254;253552;270075;288321;303196;310275;310833;305392;297150;286507;278072;270159;262624;259289;258413;257571;255615;255733;254435;253978;254271;258287;269034;280021;288501;294153;293781;285926;279850;276116;272477;271001;272980;270593;263519;255288;246826;239865;236504;234769;234023;234525;235279;237313;241974;248369;258852;271531;283065;291685;298141;299301;296317;285489;272123;257430;244541;233757;228226;227530;231707;238058;245360;251209;258689;264686;271218;277859;286162;291852;297294
10-14 år;män;185990;190065;191647;193805;196589;198162;199611;204848;211500;214737;222522;226279;231041;233458;234527;235368;241024;239334;229948;224757;221876;219799;220213;227148;230115;233392;234064;237688;238844;243179;246561;247354;247168;249049;251450;255289;259777;264543;267447;266105;267825;268158;266026;266733;268927;271321;271833;274649;276451;277116;279502;282548;285033;285973;289599;290589;292292;294355;297208;300474;301854;301520;301028;298594;294088;288478;284167;279718;274812;270325;279376;282454;281531;281958;279848;266052;254688;246497;239603;232607;227012;222604;219352;214199;211255;208998;208739;210956;216723;223623;229559;235624;248205;264077;282480;301715;318675;326556;327706;321894;312536;301962;293212;285830;278706;275455;275626;274271;272370;273883;272559;270774;271012;274874;283381;294153;303573;311111;310750;303323;295930;290903;285848;283958;285494;283316;276383;269182;261495;255579;253418;252288;252046;253750;256195;257889;262609;268386;278622;289173;301305;311741;320033;320547;316854;305500;291264;276450;265004;255238;250333;249905;253966;261331;270418;278135;289269;298557
10-14 år;kvinnor;185561;189589;190713;192571;195174;196270;197967;203452;210155;212932;221298;224968;229168;230795;232494;233493;238270;235912;227122;221460;217548;215389;215523;222053;224904;228544;229201;233347;234505;238897;241059;241705;241477;243082;245409;248741;253489;258103;261197;260392;261545;261600;259292;259106;260831;262315;263010;264912;266994;267664;270561;273115;276637;277860;280466;281480;282835;283746;285935;289136;289640;289169;288929;286428;282538;278053;274016;269520;264839;259953;268605;271568;270908;271231;269755;256783;245884;237802;231674;224790;219779;215527;212566;207086;203998;200836;200848;202674;208753;215687;221625;226790;238681;253682;270108;287847;303365;310623;311625;306301;297658;287289;278457;270478;263459;260789;260137;259478;257759;258571;257746;257006;256790;260355;269421;279397;288187;294987;295361;287591;281237;276712;272381;270750;272660;270440;263895;256626;249054;243300;240975;240207;240012;241140;242782;243970;247913;254030;263615;273802;285731;295367;302357;303958;301250;290244;277719;263740;251681;242048;237181;236059;240317;247801;255844;263672;273831;281896
15-19 år;män;176649;177459;176574;177461;179155;181301;184756;186107;187101;188074;189124;191291;196735;204180;209241;215804;220439;225637;228210;228992;227057;230450;227130;218085;213762;210811;208820;205667;211162;214754;219308;219867;223066;224421;232223;234863;236651;238161;241317;243609;247695;250886;251849;252779;253169;253180;253137;251563;255041;256659;260421;261792;265231;266601;268084;271438;274415;278548;279571;283566;283145;284882;286625;288269;293167;295290;295378;295164;293120;289195;284433;281205;276886;272372;268369;277116;281053;280254;279748;277982;264476;253424;245671;238883;232141;226869;223077;220437;215886;212899;210931;210833;212454;217241;224328;230483;236764;249767;265571;283814;303207;320029;327278;328383;323383;316106;305645;296383;289080;283964;281997;280332;277796;275133;275751;273582;272005;272878;277162;285913;296465;305105;311774;311117;303768;296585;292011;287659;286946;289888;288350;281632;274711;267634;262490;259721;257849;257486;258383;259097;261436;267153;273486;284417;295205;307083;318177;327748;329731;328011;318174;304768;290790;280793;273055;271022;276575;286062
15-19 år;kvinnor;177409;177297;175868;177287;179290;181192;184693;185613;186320;187396;188475;190705;196222;203485;207729;214311;218576;223168;224761;226170;224842;227638;224030;215342;210179;206093;204174;203444;208420;210694;213451;213953;217752;219246;225467;227472;228976;230010;232777;234905;237515;241638;244572;246719;246410;246905;247499;245950;247434;249801;252012;253279;255633;257719;259272;262637;265848;269928;270517;273545;274182;275674;277028;279733;283667;283989;283973;283993;281635;278157;273901;270360;266551;262323;258102;266519;270639;270305;269643;268460;255483;244881;237014;231219;224629;220067;216753;214384;209973;207550;205359;205737;206317;211070;217927;223909;229606;241513;256442;272497;290845;306112;313156;314144;309714;302447;292648;283639;275815;270738;269428;267117;264911;262073;261759;259970;259357;259850;263784;272977;282665;290466;296313;296306;288424;282148;278028;274310;273410;276583;274946;268568;261346;254512;249739;247029;245624;245139;245632;245595;247144;251908;258740;268883;279492;291297;301545;309280;311677;310522;300431;287608;273837;262834;254181;251450;253037;258776
20-24 år;män;154252;154874;158636;163399;168936;169584;169561;167706;165818;163989;159956;163449;165237;168178;172904;176809;180633;187339;195240;198611;193237;192770;193319;195274;198266;201346;204360;198813;184830;178657;170060;168444;168875;174626;181759;188643;193124;201398;207314;214162;215559;215580;211428;209676;211488;213894;216461;220068;224721;223400;227341;228706;228157;228773;232510;237481;241600;246866;249411;253592;256700;261476;264700;261394;264822;265210;266811;268544;272051;276552;280147;284143;286735;286440;284092;280088;276461;272348;267854;264136;273451;277872;277345;277530;276126;263351;253955;248126;242542;235589;230232;227233;224757;218935;215799;215118;216316;219013;223903;230095;235769;243620;256462;272843;293320;316396;334123;340080;340215;339752;336648;322494;309096;297890;289601;286051;287130;286508;284552;285204;282882;279620;278457;281439;289936;300859;310561;318083;318955;314571;307819;302208;296679;295287;297919;295628;288308;280269;271963;265126;263245;262376;263207;265094;266583;269488;277497;285371;296806;309505;323001;332889;341574;343988;344583;338198;331021;319535
20-24 år;kvinnor;159012;159481;163091;166772;171476;172150;171554;169484;168927;168111;167720;170858;171875;173454;176523;178317;181389;187657;195042;198581;199881;200338;201209;201901;203321;204235;207350;202415;191461;185530;178725;176520;176027;180717;185732;190613;193480;199376;203396;208532;210048;211293;209922;210224;212201;214883;219200;223473;227518;228052;230195;231480;230664;231491;234368;237802;240432;244188;245993;248166;251552;255026;258809;259606;262995;263890;265522;267178;270253;274133;275172;276233;277326;275728;273271;270503;267206;263592;259927;255993;264890;269414;269092;268728;268125;256127;247781;242086;237859;232174;229077;226943;225258;219635;216637;213958;214168;215450;219941;225050;230412;236302;247439;262177;279234;298637;315208;323266;325663;325479;321292;310054;298269;287534;278929;275183;274394;274584;273054;273046;271046;269112;267738;270061;278335;287294;295720;302329;303640;297937;293166;289143;285209;284179;287190;284543;277341;269193;261354;255245;253477;253257;253797;254923;255729;257780;264080;272155;283529;295948;309015;317973;325579;327952;326946;318250;309158;297384
25-29 år;män;150497;153841;153782;149823;146605;146290;145900;148727;150826;152386;144992;143591;141577;141886;143661;146498;151849;155261;159207;162982;156655;154634;155328;159924;163357;168584;170471;172611;172868;174402;165977;168076;164368;156658;154906;153745;154224;157656;166224;171711;175306;179436;183994;185774;190725;192043;193905;193432;195423;196467;198346;201321;206431;209787;209707;210564;212976;214052;214015;218520;223045;227389;232037;232360;234708;236612;239645;242774;244492;248206;250424;255669;260527;266299;272860;277581;280179;282114;282144;279790;276491;273303;269539;265377;262322;272028;278012;279889;282042;281615;269227;259700;252922;245927;239411;235404;232511;230758;225785;222198;219858;220918;223099;228999;238203;247835;258158;270823;286121;307074;329316;345069;350280;349703;343820;335344;324707;316088;308105;300703;296332;295145;292551;289247;288957;286303;284497;286016;292030;304284;316904;326885;333726;333540;326435;317312;310768;304492;301793;302625;301250;295514;289490;282961;277673;277042;279309;283544;288322;293280;299224;305922;311854;322761;335238;348983;365217;377368
25-29 år;kvinnor;156027;159758;160136;156520;153607;153625;153439;156631;158436;160541;158871;157000;154209;154573;155668;157174;161243;163103;165424;168433;167034;166668;168794;173250;175746;180683;182423;183614;182884;182788;181153;182016;177922;169745;165741;163076;162569;164366;170980;175229;179998;182600;186677;188819;193035;194365;195838;196128;198335;200486;205233;209240;213972;216984;217775;219600;221721;221940;221744;224858;229574;231972;235234;237863;239576;242145;245114;248763;250583;253776;256007;258327;261433;265544;270140;272204;273292;274162;273348;271220;268584;265550;262194;258958;255498;264699;271089;273182;274784;275113;264104;255736;249253;243705;237390;233699;230246;228089;222754;219617;215594;215313;215973;220803;227707;234061;240806;251783;266356;284487;304581;320812;328389;330157;326842;319782;310070;302257;294236;286680;283119;281607;280172;277100;276039;273608;272133;272366;276833;287767;298621;307833;314388;315993;310263;303565;298277;293500;291090;292534;290908;285406;279258;272990;268046;267019;268425;270908;274567;278479;282699;289214;297206;308494;320517;333430;346470;356635
30-34 år;män;138305;135180;136811;140049;141507;143447;145873;145325;139257;133712;130567;129311;130316;132443;135166;134443;134801;134226;135400;136986;137414;138488;137618;138236;140145;141306;141498;143105;146396;148416;149074;149709;150976;151296;153127;154456;158354;157392;151742;149411;144114;144814;147152;153798;158872;164315;167772;173406;177486;181800;180000;181409;181670;182512;184125;187063;191026;195866;198068;198566;200330;202557;202785;203343;206868;210393;213135;217461;221248;224084;227593;233135;238487;241589;246832;250203;253646;257762;263611;269937;274784;277557;279561;279768;277796;274791;273057;270668;267608;264607;274365;280306;281128;281826;281198;269821;260204;254208;248112;241631;236317;232775;230072;225549;223905;223894;226371;228882;234887;244707;253088;260367;271619;285945;303851;323253;340205;349193;351306;346308;337906;325951;315962;307298;299523;295350;295331;294476;293622;296079;295833;295067;296774;302792;313912;324146;332562;338412;337106;328573;320565;315573;311223;309721;311248;310320;306519;302586;298624;296143;297392;299040;302237;306955;312360;318006;330321;340535
30-34 år;kvinnor;146344;142810;144389;146910;148171;150300;153607;153730;149048;144607;143879;143126;145366;147225;150016;149737;149035;147076;147930;149196;150768;152322;151568;152099;153740;154088;154730;157458;161309;162948;168254;169078;170101;169422;169808;169453;171769;169650;163497;159278;157592;156846;158032;163300;166803;170859;173114;177811;181052;185045;188179;189708;190583;192302;194349;197505;202076;206868;208712;209599;212887;214996;215094;216456;219593;222260;224367;227419;230569;232376;235975;239271;243891;246932;251002;253712;256150;258812;263020;267853;269701;270986;272013;271461;269673;267613;266065;263854;261611;258308;268229;274196;275598;276333;276617;265420;256262;249720;244684;238340;233866;230288;227857;222483;219921;216986;217320;218253;223222;230758;237027;242626;252716;266402;282541;301157;317853;327901;331572;328990;321992;311869;302837;294272;286410;282881;282082;281805;280715;281764;281117;280691;281290;286487;297868;306599;314371;319925;320465;312809;307225;303551;300388;299382;301389;299956;295526;290615;286613;283926;284477;286071;289250;293034;297018;301065;310855;321958
35-39 år;män;138063;139054;136489;133950;134248;131773;128261;129546;131327;131021;129963;131516;130835;126241;122758;122275;122007;123816;126401;129374;129163;127519;125165;124983;125787;127189;129366;129026;129158;130481;131310;131119;132824;136016;137923;140743;142158;144886;146180;147387;146394;149339;147298;140953;138326;136972;137544;140468;147853;152451;155687;158491;163709;166292;170186;171340;173282;173947;174392;176507;180439;184635;189018;191993;192209;192251;193404;193710;195801;199473;204369;208418;213839;218498;222225;226359;231173;235689;238899;244239;247597;251274;255312;260980;267468;272649;276454;279779;281019;279180;275490;272981;269761;265754;262576;272972;278814;280068;281728;281152;268827;259094;252261;246298;240795;237042;234232;231895;227388;226470;226145;226857;228202;233506;241161;247533;254979;268119;284020;302251;321135;337571;345470;346953;341729;333720;322599;313831;306926;301270;298583;299836;299391;298971;301548;299781;297919;299124;303804;312943;323998;333853;340942;340576;332747;325090;321309;318507;318390;322241;321984;318113;313690;309885;308109;310663;315589;321544
35-39 år;kvinnor;145348;147008;143957;142235;142823;140456;136586;137914;139584;139707;141400;143900;143801;139965;136682;136066;136138;138769;141040;144098;143801;142079;139341;139220;140044;141157;143477;143399;143653;144881;145690;146314;149187;153215;155507;159441;160953;163057;163429;163587;164127;166423;163949;157681;153692;150974;150268;151733;157207;160739;165358;167687;172409;175561;179708;181738;183787;184655;185646;187734;191327;195657;200414;203966;205102;206796;208818;208838;210555;213652;216730;219282;223032;226547;229199;232910;236881;241212;244042;248216;250615;253460;256176;260699;265706;268244;270667;272762;272901;271292;269218;267244;264336;261115;257690;267377;273201;274939;276327;276620;264647;255540;248769;243694;237828;234292;231058;228771;223467;221370;218676;218474;218822;223467;229829;234926;240712;252014;266594;282894;301243;317494;326804;330123;327540;320590;310881;302538;295003;288806;286716;286874;286923;286420;288106;286607;285248;285361;289442;298675;308090;317223;323976;325320;318405;312925;310138;307985;308321;312257;311898;307835;303087;299027;296259;297907;301728;306649
40-44 år;män;111134;113934;118395;123071;126589;130790;131321;128416;125004;124185;119341;116356;117392;119599;120221;121563;123783;123578;119779;117002;116559;115264;116040;117891;120847;120348;119683;117775;117274;117909;119223;121076;121154;121918;123582;124259;124436;126801;130490;132139;134974;136313;138179;138638;139044;139570;142308;140738;135320;132596;131469;131607;134165;140449;144344;148995;152356;157589;159949;164017;166317;168059;168384;169437;171670;174407;177927;181944;185597;185894;186895;188845;189787;192662;196772;201859;205640;210431;214783;218455;223063;228363;232817;235884;241132;244736;249521;254418;260849;267209;271818;274853;277471;277884;275984;272960;270340;267450;263902;260959;270497;276141;277082;278604;278546;267375;258029;251316;245406;240514;237032;233405;230405;225435;223198;221677;222540;224995;231107;238861;244818;251821;264444;280093;298062;317017;333419;341660;344114;340063;333172;322931;314295;307677;302428;298858;299716;299046;297897;298532;297691;296805;298965;304515;314041;324954;335387;343590;343994;337930;331587;327593;324499;324689;329565;330868;329405;326651
40-44 år;kvinnor;118955;121068;125490;130247;134209;138706;139914;136809;134470;134263;130943;127630;128810;130819;131874;133699;136752;137026;133683;130861;130319;129429;131071;133055;135753;135508;134425;132193;131964;132659;134040;136084;136291;136695;138275;138640;139722;143020;147392;149428;153591;155111;157079;157360;157669;157463;159687;157505;151760;147949;146029;145350;146839;151980;155571;159507;162217;166889;169538;173590;175632;177437;178253;180208;182463;185658;189976;194605;198300;199606;201398;203758;204339;206132;209518;213162;215749;219380;222980;225600;229517;233897;238215;241003;245270;248567;252101;255488;260706;265855;268317;270008;271735;271303;269741;267881;265610;262924;260006;256478;265419;271491;272893;274170;275025;264042;255153;248463;243505;238156;234870;231420;228835;223254;220390;216976;216937;217940;223067;229538;234431;240043;250960;265284;281400;299765;316165;325788;329736;327770;321718;312367;304108;297121;291498;289071;289080;288989;287670;287831;286872;286409;287385;292052;301724;311210;320875;328097;330256;325130;320639;318120;316197;316510;320549;321076;318411;315024
45-49 år;män;90302;92585;94707;100157;102698;104221;106627;110330;113975;116096;117677;118066;115950;113476;113386;110944;108806;110123;112601;113578;114578;115856;115182;111465;108634;108185;107602;108626;110325;112949;112877;112112;110584;110425;111319;112343;114424;114905;115911;117224;118401;118692;120934;124156;125805;128172;129401;131386;132235;132692;133723;136352;134858;129438;126912;125687;126041;128735;134683;138729;144057;147380;152275;155294;159244;160217;161458;161742;163215;165416;169045;172708;177010;181160;181708;182972;184733;185422;187839;192040;197238;201502;206294;210633;214403;218934;224612;229949;233861;239059;241993;246017;250450;256365;262572;267824;270707;273472;274232;272370;268829;266303;263158;259589;257013;267150;272847;273876;275317;275349;264529;254863;247765;241788;235964;231634;228315;226169;221828;219663;217922;218544;220774;226777;234486;240541;247531;260326;276414;294955;314089;330648;338709;341016;337109;330007;319835;311369;304473;298247;295443;296981;297221;296474;297580;296777;296405;299074;305243;315776;327013;337234;345039;346209;341083;336401;334272;332859
