region;parti mm;1973;1976;1979;1982;1985;1988;1991;1994;1998;2002;2006;2010;2014
VR1 Stockholms kommuns valkrets;Moderaterna;109549;116787;132224;152817;136899;119567;133141;140982;147599;96205;169211;183421;160166
VR1 Stockholms kommuns valkrets;Centerpartiet;69687;62543;40676;33062;16745;18195;12656;13996;7493;8109;27257;33895;28201
VR1 Stockholms kommuns valkrets;Folkpartiet;52728;62680;53261;26721;71639;62511;49510;44707;33027;89510;48476;45939;45365
VR1 Stockholms kommuns valkrets;Kristdemokraterna;4627;3642;3483;4371;0;7834;21233;13303;39100;30228;24327;28244;24691
VR1 Stockholms kommuns valkrets;Miljöpartiet;0;0;0;10021;7870;29894;22979;25595;24362;31027;45030;65351;64392
VR1 Stockholms kommuns valkrets;Socialdemokraterna;184758;179710;171474;178565;172352;145524;129108;152722;119270;143640;111765;111688;124792
VR1 Stockholms kommuns valkrets;Vänsterpartiet;43196;41542;47513;45737;43384;44339;30956;36768;56663;49795;35616;39565;44656
VR1 Stockholms kommuns valkrets;Sverigedemokraterna;0;0;0;0;0;0;0;0;1599;4706;7912;16950;38356
VR1 Stockholms kommuns valkrets;övriga partier;4841;4166;4656;2241;4228;4626;33617;10359;9182;4785;12861;9834;46946
VR1 Stockholms kommuns valkrets;ogiltiga valsedlar;1218;2343;4006;5997;4724;6627;7782;7329;8668;5248;6550;4147;3500
VR1 Stockholms kommuns valkrets;ej röstande;57188;50570;56376;51106;57860;79613;73580;76361;105082;110687;104329;95430;96079
VR2 Stockholms läns valkrets;Moderaterna;91781;110671;144543;181144;171700;152483;185968;193581;198995;138456;252100;286249;249616
VR2 Stockholms läns valkrets;Centerpartiet;100558;96243;67185;54654;32196;35288;24571;24979;14692;16477;34998;41369;38898
VR2 Stockholms läns valkrets;Folkpartiet;47050;66357;61030;31600;96061;89048;69408;55933;35159;113485;60178;59461;53766
VR2 Stockholms läns valkrets;Kristdemokraterna;4547;3520;4111;5676;0;9891;29548;20419;65182;54872;43792;44880;40492
VR2 Stockholms läns valkrets;Miljöpartiet;0;0;0;11726;9078;33269;22833;30032;25616;30005;36365;53788;59586
VR2 Stockholms läns valkrets;Socialdemokraterna;173849;184948;192980;213918;214044;196700;173268;223902;180073;206560;171901;159222;183738
VR2 Stockholms läns valkrets;Vänsterpartiet;30820;30613;36743;35497;32947;35440;23560;32360;54358;43268;31161;31617;35722
VR2 Stockholms läns valkrets;Sverigedemokraterna;0;0;0;0;0;0;0;0;2891;6385;12471;29886;74136
VR2 Stockholms läns valkrets;övriga partier;3518;2855;3618;1388;3182;3966;50100;13792;10966;7679;14258;9877;28241
VR2 Stockholms läns valkrets;ogiltiga valsedlar;1073;2160;4097;6685;5527;8166;9824;9906;11902;7846;9806;6451;5991
VR2 Stockholms läns valkrets;ej röstande;41210;40008;49930;46412;59222;89899;83649;87610;130984;145561;137270;127829;130388
VR3 Uppsala läns valkrets;Moderaterna;18037;21392;28863;35693;33377;29516;36878;39479;40546;26482;52016;64750;52071
VR3 Uppsala läns valkrets;Centerpartiet;37581;37407;30614;27027;20629;19765;15107;13895;9855;12002;19340;17838;15827
VR3 Uppsala läns valkrets;Folkpartiet;13318;16807;16415;10086;25133;21854;18771;15803;10616;27594;17929;16878;14141
VR3 Uppsala läns valkrets;Kristdemokraterna;2257;1818;1756;2353;0;3224;9633;6743;18135;15646;12976;12265;10776
VR3 Uppsala läns valkrets;Miljöpartiet;0;0;0;3248;2850;9148;7257;10816;9658;10062;12312;18993;19080
VR3 Uppsala läns valkrets;Socialdemokraterna;60090;63017;65153;71368;70602;65580;58981;75620;58503;66035;60674;58862;65926
VR3 Uppsala läns valkrets;Vänsterpartiet;7677;8037;10156;9777;9070;10022;7560;10333;18620;14372;11240;11845;14363
VR3 Uppsala läns valkrets;Sverigedemokraterna;0;0;0;0;0;0;0;0;898;2423;4483;10003;24091
VR3 Uppsala läns valkrets;övriga partier;914;847;909;521;1318;1566;13096;3805;3265;1786;5419;3596;12076
VR3 Uppsala läns valkrets;ogiltiga valsedlar;227;640;1048;1818;1550;2209;3084;2855;4242;2950;3574;2565;2089
VR3 Uppsala läns valkrets;ej röstande;14942;14333;15844;14638;17958;25885;25561;25901;38605;42479;41335;36170;33240
VR4 Södermanlands läns valkrets;Moderaterna;17127;20419;26616;32742;29905;24342;29722;31061;29499;20000;37350;47889;39991
VR4 Södermanlands läns valkrets;Centerpartiet;35658;36114;26867;23476;18131;16014;12903;10940;7330;8377;10942;9850;9774
VR4 Södermanlands läns valkrets;Folkpartiet;14242;17577;17478;9758;22315;19209;14587;11177;6265;18104;10843;11299;7776
VR4 Södermanlands läns valkrets;Kristdemokraterna;2831;2286;2153;2741;0;3816;9970;5579;16657;12655;9950;8095;6888
VR4 Södermanlands läns valkrets;Miljöpartiet;0;0;0;2807;2567;8139;4777;8280;7436;7346;8218;13065;11165
VR4 Södermanlands läns valkrets;Socialdemokraterna;78498;81178;83340;88077;85681;79234;71285;84976;66147;72092;67458;59463;61834
VR4 Södermanlands läns valkrets;Vänsterpartiet;5795;5058;6399;6839;6942;7673;6093;8829;16528;10862;7830;8637;9084
VR4 Södermanlands läns valkrets;Sverigedemokraterna;0;0;0;0;0;0;0;0;383;1478;4050;11370;26887
VR4 Södermanlands läns valkrets;övriga partier;581;515;888;297;621;1100;12714;3431;2228;1521;3109;1759;5233
VR4 Södermanlands läns valkrets;ogiltiga valsedlar;222;459;782;1431;1424;1860;2580;2472;3426;2296;3199;2124;1973
VR4 Södermanlands läns valkrets;ej röstande;13049;12644;14563;13571;17037;24820;24490;24008;34684;38455;35736;31228;29480
VR5 Östergötlands läns valkrets;Moderaterna;34442;39985;51628;60657;54916;44818;55196;57753;54967;36927;65037;80141;64877
VR5 Östergötlands läns valkrets;Centerpartiet;60522;60585;44815;39856;34573;30374;21738;20464;12842;15254;19884;17561;17443
VR5 Östergötlands läns valkrets;Folkpartiet;17889;24521;24437;13521;34348;28085;21695;17769;9536;29654;17117;19017;14860
VR5 Östergötlands läns valkrets;Kristdemokraterna;6510;5227;4886;6537;0;9143;23057;12791;32821;25784;18831;16357;14752
VR5 Östergötlands läns valkrets;Miljöpartiet;0;0;0;3630;3465;13290;7775;13531;11949;12046;13402;21225;19218
VR5 Östergötlands läns valkrets;Socialdemokraterna;117052;120385;121830;128217;126695;117090;101464;122703;92795;105943;98062;92164;94909
