region;parti mm;1973;2014
0114 Upplands Väsby;Moderaterna;1918;6972
0114 Upplands Väsby;Centerpartiet;2917;919
0114 Upplands Väsby;Folkpartiet;1201;1501
0114 Upplands Väsby;Kristdemokraterna;122;1093
0114 Upplands Väsby;Miljöpartiet;0;1680
0114 Upplands Väsby;Socialdemokraterna;5297;7428
0114 Upplands Väsby;Vänsterpartiet;807;1430
0114 Upplands Väsby;Sverigedemokraterna;0;2679
0114 Upplands Väsby;övriga partier;76;825
0114 Upplands Väsby;ogiltiga valsedlar;31;236
0114 Upplands Väsby;ej röstande;1167;4697
0115 Vallentuna;Moderaterna;1612;7287
0115 Vallentuna;Centerpartiet;2403;1364
0115 Vallentuna;Folkpartiet;755;1403
0115 Vallentuna;Kristdemokraterna;115;985
0115 Vallentuna;Miljöpartiet;0;1655
0115 Vallentuna;Socialdemokraterna;2632;3925
0115 Vallentuna;Vänsterpartiet;400;649
0115 Vallentuna;Sverigedemokraterna;0;2071
0115 Vallentuna;övriga partier;54;712
0115 Vallentuna;ogiltiga valsedlar;11;175
0115 Vallentuna;ej röstande;574;2420
0117 Österåker;Moderaterna;0;9652
0117 Österåker;Centerpartiet;0;1489
0117 Österåker;Folkpartiet;0;1956
0117 Österåker;Kristdemokraterna;0;1308
0117 Österåker;Miljöpartiet;0;2002
0117 Österåker;Socialdemokraterna;0;5262
0117 Österåker;Vänsterpartiet;0;914
0117 Österåker;Sverigedemokraterna;0;2518
0117 Österåker;övriga partier;0;712
0117 Österåker;ogiltiga valsedlar;0;218
0117 Österåker;ej röstande;0;3482
0120 Värmdö;Moderaterna;1168;9448
0120 Värmdö;Centerpartiet;1671;1356
0120 Värmdö;Folkpartiet;614;1577
0120 Värmdö;Kristdemokraterna;85;1077
0120 Värmdö;Miljöpartiet;0;2096
0120 Värmdö;Socialdemokraterna;3473;5136
0120 Värmdö;Vänsterpartiet;490;946
0120 Värmdö;Sverigedemokraterna;0;2626
0120 Värmdö;övriga partier;44;993
0120 Värmdö;ogiltiga valsedlar;20;212
0120 Värmdö;ej röstande;702;3055
0123 Järfälla;Moderaterna;5393;12229
0123 Järfälla;Centerpartiet;6375;1694
0123 Järfälla;Folkpartiet;3443;2586
0123 Järfälla;Kristdemokraterna;328;2110
0123 Järfälla;Miljöpartiet;0;3268
0123 Järfälla;Socialdemokraterna;10998;12049
0123 Järfälla;Vänsterpartiet;1865;2489
0123 Järfälla;Sverigedemokraterna;0;4317
0123 Järfälla;övriga partier;183;1458
0123 Järfälla;ogiltiga valsedlar;81;277
0123 Järfälla;ej röstande;2135;7184
0125 Ekerö;Moderaterna;1932;6613
0125 Ekerö;Centerpartiet;2002;1208
0125 Ekerö;Folkpartiet;960;1250
0125 Ekerö;Kristdemokraterna;79;1068
0125 Ekerö;Miljöpartiet;0;1404
0125 Ekerö;Socialdemokraterna;2673;2734
0125 Ekerö;Vänsterpartiet;417;542
0125 Ekerö;Sverigedemokraterna;0;1590
0125 Ekerö;övriga partier;23;604
0125 Ekerö;ogiltiga valsedlar;14;145
0125 Ekerö;ej röstande;490;1756
0126 Huddinge;Moderaterna;4951;17455
0126 Huddinge;Centerpartiet;7771;2426
0126 Huddinge;Folkpartiet;3379;3434
0126 Huddinge;Kristdemokraterna;334;2357
0126 Huddinge;Miljöpartiet;0;4845
0126 Huddinge;Socialdemokraterna;13217;15401
0126 Huddinge;Vänsterpartiet;2836;3068
0126 Huddinge;Sverigedemokraterna;0;5981
0126 Huddinge;övriga partier;264;2287
0126 Huddinge;ogiltiga valsedlar;76;448
0126 Huddinge;ej röstande;3068;11408
0127 Botkyrka;Moderaterna;4424;9670
0127 Botkyrka;Centerpartiet;6774;1185
0127 Botkyrka;Folkpartiet;3162;2078
0127 Botkyrka;Kristdemokraterna;232;2472
0127 Botkyrka;Miljöpartiet;0;3545
0127 Botkyrka;Socialdemokraterna;12297;15806
0127 Botkyrka;Vänsterpartiet;2149;2989
0127 Botkyrka;Sverigedemokraterna;0;4495
0127 Botkyrka;övriga partier;324;1487
0127 Botkyrka;ogiltiga valsedlar;58;327
0127 Botkyrka;ej röstande;3022;12596
0128 Salem;Moderaterna;0;2984
0128 Salem;Centerpartiet;0;515
0128 Salem;Folkpartiet;0;672
0128 Salem;Kristdemokraterna;0;549
0128 Salem;Miljöpartiet;0;755
0128 Salem;Socialdemokraterna;0;2425
0128 Salem;Vänsterpartiet;0;412
0128 Salem;Sverigedemokraterna;0;1108
0128 Salem;övriga partier;0;308
0128 Salem;ogiltiga valsedlar;0;75
0128 Salem;ej röstande;0;1358
0136 Haninge;Moderaterna;3213;13319
0136 Haninge;Centerpartiet;6539;1640
0136 Haninge;Folkpartiet;2529;2417
0136 Haninge;Kristdemokraterna;149;1719
0136 Haninge;Miljöpartiet;0;3520
0136 Haninge;Socialdemokraterna;10389;14180
0136 Haninge;Vänsterpartiet;2158;2377
0136 Haninge;Sverigedemokraterna;0;5741
0136 Haninge;övriga partier;308;1753
0136 Haninge;ogiltiga valsedlar;62;483
0136 Haninge;ej röstande;2708;9296
0138 Tyresö;Moderaterna;2350;9745
0138 Tyresö;Centerpartiet;3306;1289
0138 Tyresö;Folkpartiet;1828;1827
0138 Tyresö;Kristdemokraterna;104;1296
0138 Tyresö;Miljöpartiet;0;2376
0138 Tyresö;Socialdemokraterna;5411;6777
0138 Tyresö;Vänsterpartiet;1213;1220
0138 Tyresö;Sverigedemokraterna;0;2710
0138 Tyresö;övriga partier;95;996
0138 Tyresö;ogiltiga valsedlar;41;230
0138 Tyresö;ej röstande;1221;3643
0139 Upplands-Bro;Moderaterna;968;4064
0139 Upplands-Bro;Centerpartiet;1633;595
0139 Upplands-Bro;Folkpartiet;589;995
0139 Upplands-Bro;Kristdemokraterna;64;849
0139 Upplands-Bro;Miljöpartiet;0;958
0139 Upplands-Bro;Socialdemokraterna;2982;4397
0139 Upplands-Bro;Vänsterpartiet;511;727
0139 Upplands-Bro;Sverigedemokraterna;0;1825
0139 Upplands-Bro;övriga partier;40;464
0139 Upplands-Bro;ogiltiga valsedlar;11;121
0139 Upplands-Bro;ej röstande;611;2525
0140 Nykvarn;Moderaterna;0;1926
0140 Nykvarn;Centerpartiet;0;355
0140 Nykvarn;Folkpartiet;0;273
0140 Nykvarn;Kristdemokraterna;0;234
0140 Nykvarn;Miljöpartiet;0;339
0140 Nykvarn;Socialdemokraterna;0;1603
0140 Nykvarn;Vänsterpartiet;0;155
0140 Nykvarn;Sverigedemokraterna;0;1097
0140 Nykvarn;övriga partier;0;124
0140 Nykvarn;ogiltiga valsedlar;0;74
0140 Nykvarn;ej röstande;0;733
0160 Täby;Moderaterna;6781;19836
0160 Täby;Centerpartiet;4921;2804
0160 Täby;Folkpartiet;2609;4944
0160 Täby;Kristdemokraterna;173;3072
0160 Täby;Miljöpartiet;0;2687
0160 Täby;Socialdemokraterna;6646;5487
0160 Täby;Vänsterpartiet;1291;976
0160 Täby;Sverigedemokraterna;0;2824
0160 Täby;övriga partier;172;1161
0160 Täby;ogiltiga valsedlar;61;226
0160 Täby;ej röstande;1612;4977
0162 Danderyd;Moderaterna;8391;10627
0162 Danderyd;Centerpartiet;2833;1516
0162 Danderyd;Folkpartiet;2107;2522
0162 Danderyd;Kristdemokraterna;126;2234
0162 Danderyd;Miljöpartiet;0;999
0162 Danderyd;Socialdemokraterna;3578;1452
0162 Danderyd;Vänsterpartiet;725;287
0162 Danderyd;Sverigedemokraterna;0;1126
0162 Danderyd;övriga partier;106;501
0162 Danderyd;ogiltiga valsedlar;41;65
0162 Danderyd;ej röstande;1037;2173
0163 Sollentuna;Moderaterna;5322;15106
0163 Sollentuna;Centerpartiet;5657;2337
0163 Sollentuna;Folkpartiet;2670;3689
0163 Sollentuna;Kristdemokraterna;355;2687
0163 Sollentuna;Miljöpartiet;0;3448
0163 Sollentuna;Socialdemokraterna;8509;8445
0163 Sollentuna;Vänsterpartiet;1560;1762
0163 Sollentuna;Sverigedemokraterna;0;2984
0163 Sollentuna;övriga partier;181;1420
0163 Sollentuna;ogiltiga valsedlar;78;307
0163 Sollentuna;ej röstande;1756;5940
0180 Stockholm;Moderaterna;109549;160166
0180 Stockholm;Centerpartiet;69687;28201
0180 Stockholm;Folkpartiet;52728;45365
0180 Stockholm;Kristdemokraterna;4627;24691
0180 Stockholm;Miljöpartiet;0;64392
0180 Stockholm;Socialdemokraterna;184758;124792
0180 Stockholm;Vänsterpartiet;43196;44656
0180 Stockholm;Sverigedemokraterna;0;38356
0180 Stockholm;övriga partier;4841;46946
0180 Stockholm;ogiltiga valsedlar;1218;3500
